accountsservice 0.6.55-1
acpi 1.7-2
acpid 2.0.32-1
alsa-firmware 1.2.1-2
alsa-plugins 1.2.1-1
alsa-tools 1.1.7-1
alsa-utils 1.2.1-2
apparmor 2.13.3-5
arandr 0.1.10-4
artwork-i3 20190912-1
aspell-en 2018.04.16-1
autoconf 2.69-6
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
b43-fwcutter 019-3
bash 5.0.011-2
bauh 0.8.1-1
binutils 2.33.1-2
bison 3.5-1
blueman 2.1.1-2
bluez-utils 5.52-2
bmenu 0.5-3
btrfs-progs 5.4-1
bumblebee 3.2.1-22
bzip2 1.0.8-3
cantarell-fonts 1:0.201-1
clipit 1:1.4.3-2
code 1.41.1-1
coreutils 8.31-3
cpupower 5.4-3
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.2.2-1.1
deluge 2.0.4.dev23+g2f1c008a2-1
device-mapper 2.02.186-5
dfc 3.1.1-1
dhclient 4.4.2-1
dhcpcd 8.1.5-1
diffutils 3.7-3
discord 0.0.9-5
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.80-4
dosfstools 4.1-3
downgrade 6.2.3-1
dropbox 89.4.278-1
e2fsprogs 1.45.5-1
ecryptfs-utils 111-3
efibootmgr 16-2
emacs 26.3-1
evince 3.34.2-1
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
ffmpeg 1:4.2.2-2
ffmpegthumbnailer 2.2.2-1
file 5.38-1
filesystem 2019.10-4
filezilla 3.46.3-1
findutils 4.7.0-2
firefox 72.0.2-1
flac 1.3.3-1
flex 2.6.4-3
gawk 5.0.1-2
gcc 9.2.0-4
gcc-libs 9.2.0-4
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-7
gettext 0.20.1-3
gimp 2.10.14-1
git 2.25.0-1
glibc 2.30-3
gnome-keyring 1:3.34.0-2
gparted 1.1.0-1
grep 3.4-1
grub 2.04-10
grub-customizer 5.1.0-1
grub-theme-manjaro-dev 18.0-3
gst-libav 1.16.2-1
gst-plugins-bad 1.16.2-2
gst-plugins-base 1.16.2-1
gst-plugins-good 1.16.2-2
gst-plugins-ugly 1.16.2-2
gstreamer 1.16.2-1
gtksourceview-pkgbuild 4-2
guake 3.6.3-2
gufw 19.10.0-2
gvfs 1.42.2-1
gvfs-afc 1.42.2-1
gvfs-gphoto2 1.42.2-1
gvfs-mtp 1.42.2-1
gvfs-smb 1.42.2-1
gzip 1.10-3
hexchat 2.14.3-1
htop 2.2.0-3
inetutils 1.9.4-8
intel-ucode 20191115-3
inxi 3.0.37-1
iproute2 5.5.0-1
iputils 20190709-2
jfsutils 1.1.15-7
keepass 2.44-1
kvantum-manjaro 0.13.5-1
languagetool 4.8-1
less 551-3
lftp 4.9.1-1
lib32-flex 2.6.4-2
lib32-mesa-demos 8.4.0-1
lib32-nvidia-418xx-utils 418.113-1
lib32-primus 20151110-4
libdvdcss 1.4.2-1
libgpod 0.8.3-8
libmythes 1:1.2.4-3
libreoffice-still 6.2.8-4
libtool 2.4.6+42+gb88cebd5-8
licenses 20191011-2
lightdm-settings 1.2.8-1
lightdm-slick-greeter 1.2.8-2
linux54 5.4.15-2
linux54-bbswitch 0.8-18
linux54-nvidia-418xx 418.113-18
logrotate 3.15.1-2
lvm2 2.02.186-5
lxappearance 0.6.3-2
lxinput 0.3.5-2
lynx 2.8.9-2
m4 1.4.18-3
maia-console 1.2-6
make 4.2.1-4
man-db 2.9.0-1
man-pages 5.04-2
